school_name,address,latitude,longitude,school_day_type,time_window,pedestrian_collisions,cyclist_collisions,other_collisions,total_collisions
Sandhills Public School,1250 Victoria St S Kitchener ON N2N 3J2,43.4327259,-80.54390469177656,Regular School Day,btw_6am_6pm,1,0,4,5
Sandhills Public School,1250 Victoria St S Kitchener ON N2N 3J2,43.4327259,-80.54390469177656,Regular School Day,btw_7am_5pm,1,0,2,3
Sandhills Public School,1250 Victoria St S Kitchener ON N2N 3J2,43.4327259,-80.54390469177656,Regular School Day,btw_8am_4pm,1,0,1,2
Sheppard Public School,278 Weber St E Kitchener ON N2H 1G2,43.44701135,-80.47184812876462,Regular School Day,btw_6am_6pm,1,0,6,7
Sheppard Public School,278 Weber St E Kitchener ON N2H 1G2,43.44701135,-80.47184812876462,Regular School Day,btw_7am_5pm,1,0,6,7
Sheppard Public School,278 Weber St E Kitchener ON N2H 1G2,43.44701135,-80.47184812876462,Regular School Day,btw_8am_4pm,1,0,5,6
Smithson Public School,150 Belleview Ave Kitchener ON N2B 1G7,43.4545164,-80.46165275367684,Regular School Day,btw_6am_6pm,0,1,8,9
Smithson Public School,150 Belleview Ave Kitchener ON N2B 1G7,43.4545164,-80.46165275367684,Regular School Day,btw_7am_5pm,0,1,6,7
Smithson Public School,150 Belleview Ave Kitchener ON N2B 1G7,43.4545164,-80.46165275367684,Regular School Day,btw_8am_4pm,0,1,4,5
Southridge Public School,1425 Queen's Blvd Kitchener ON N2M 5B3,43.4291513,-80.51851283923051,Regular School Day,btw_6am_6pm,0,0,10,10
Southridge Public School,1425 Queen's Blvd Kitchener ON N2M 5B3,43.4291513,-80.51851283923051,Regular School Day,btw_7am_5pm,0,0,9,9
Southridge Public School,1425 Queen's Blvd Kitchener ON N2M 5B3,43.4291513,-80.51851283923051,Regular School Day,btw_8am_4pm,0,0,8,8
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Lockdown School Day,btw_6am_6pm,0,0,1,1
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Lockdown School Day,btw_7am_5pm,0,0,1,1
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Lockdown School Day,btw_8am_4pm,0,0,1,1
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Regular School Day,btw_6am_6pm,0,0,4,4
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Regular School Day,btw_7am_5pm,0,0,3,3
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623,Regular School Day,btw_8am_4pm,0,0,1,1
St. Anne Kit,"250 East Avenue Kitchener, ON N2H 1Z4",43.4512039,-80.47018390136591,Regular School Day,btw_6am_6pm,2,0,3,5
St. Anne Kit,"250 East Avenue Kitchener, ON N2H 1Z4",43.4512039,-80.47018390136591,Regular School Day,btw_7am_5pm,0,0,3,3
St. Anne Kit,"250 East Avenue Kitchener, ON N2H 1Z4",43.4512039,-80.47018390136591,Regular School Day,btw_8am_4pm,0,0,3,3
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Lockdown School Day,btw_6am_6pm,0,0,1,1
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Lockdown School Day,btw_7am_5pm,0,0,1,1
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Lockdown School Day,btw_8am_4pm,0,0,1,1
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Regular School Day,btw_6am_6pm,1,0,28,29
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Regular School Day,btw_7am_5pm,1,0,27,28
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606,Regular School Day,btw_8am_4pm,1,0,21,22
St. Daniel,"39 Midland Drive Kitchener, ON N2A 2A9",43.4483141,-80.4478973273295,Regular School Day,btw_6am_6pm,0,0,7,7
St. Daniel,"39 Midland Drive Kitchener, ON N2A 2A9",43.4483141,-80.4478973273295,Regular School Day,btw_7am_5pm,0,0,6,6
St. Daniel,"39 Midland Drive Kitchener, ON N2A 2A9",43.4483141,-80.4478973273295,Regular School Day,btw_8am_4pm,0,0,5,5
St. Dominic Savio,"3 Westforest Trail Kitchener, ON N2N 3A6",43.433836549999995,-80.54042064982094,Regular School Day,btw_6am_6pm,0,0,3,3
St. Dominic Savio,"3 Westforest Trail Kitchener, ON N2N 3A6",43.433836549999995,-80.54042064982094,Regular School Day,btw_7am_5pm,0,0,3,3
St. Dominic Savio,"3 Westforest Trail Kitchener, ON N2N 3A6",43.433836549999995,-80.54042064982094,Regular School Day,btw_8am_4pm,0,0,3,3
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Lockdown School Day,btw_6am_6pm,0,0,1,1
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Lockdown School Day,btw_7am_5pm,0,0,1,1
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Lockdown School Day,btw_8am_4pm,0,0,1,1
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Regular School Day,btw_6am_6pm,0,0,20,20
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Regular School Day,btw_7am_5pm,0,0,16,16
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119,Regular School Day,btw_8am_4pm,0,0,11,11
St. Kateri Tekakwitha,"560 Pioneer Drive Kitchener, ON N2P 1P2",43.393690250000006,-80.45054899828011,Regular School Day,btw_6am_6pm,0,0,4,4
St. Kateri Tekakwitha,"560 Pioneer Drive Kitchener, ON N2P 1P2",43.393690250000006,-80.45054899828011,Regular School Day,btw_7am_5pm,0,0,4,4
St. Kateri Tekakwitha,"560 Pioneer Drive Kitchener, ON N2P 1P2",43.393690250000006,-80.45054899828011,Regular School Day,btw_8am_4pm,0,0,3,3
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Lockdown School Day,btw_6am_6pm,0,0,1,1
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Lockdown School Day,btw_7am_5pm,0,0,1,1
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Lockdown School Day,btw_8am_4pm,0,0,1,1
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Regular School Day,btw_6am_6pm,0,0,13,13
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Regular School Day,btw_7am_5pm,0,0,12,12
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.4204653,-80.5316646375,Regular School Day,btw_8am_4pm,0,0,12,12
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Lockdown School Day,btw_6am_6pm,0,0,2,2
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Lockdown School Day,btw_7am_5pm,0,0,2,2
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Lockdown School Day,btw_8am_4pm,0,0,2,2
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Regular School Day,btw_6am_6pm,0,0,15,15
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Regular School Day,btw_7am_5pm,0,0,13,13
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.42064825,-80.46776869343864,Regular School Day,btw_8am_4pm,0,0,11,11
St. Paul,"45 Birchcliff Avenue Kitchener, ON N2M 4V7",43.4258691,-80.51688476613764,Regular School Day,btw_6am_6pm,0,0,5,5
St. Paul,"45 Birchcliff Avenue Kitchener, ON N2M 4V7",43.4258691,-80.51688476613764,Regular School Day,btw_7am_5pm,0,0,5,5
St. Paul,"45 Birchcliff Avenue Kitchener, ON N2M 4V7",43.4258691,-80.51688476613764,Regular School Day,btw_8am_4pm,0,0,5,5
St. Teresa Kitchener,"270 Edwin Street Kitchener, ON N2H 4P4",43.46774785,-80.4876731293018,Regular School Day,btw_6am_6pm,0,0,5,5
St. Teresa Kitchener,"270 Edwin Street Kitchener, ON N2H 4P4",43.46774785,-80.4876731293018,Regular School Day,btw_7am_5pm,0,0,5,5
St. Teresa Kitchener,"270 Edwin Street Kitchener, ON N2H 4P4",43.46774785,-80.4876731293018,Regular School Day,btw_8am_4pm,0,0,4,4
St. Timothy,"15 Bechtel Drive Kitchener, ON N2P 1T4",43.3926099,-80.43733731001443,Regular School Day,btw_6am_6pm,1,0,13,14
St. Timothy,"15 Bechtel Drive Kitchener, ON N2P 1T4",43.3926099,-80.43733731001443,Regular School Day,btw_7am_5pm,0,0,10,10
St. Timothy,"15 Bechtel Drive Kitchener, ON N2P 1T4",43.3926099,-80.43733731001443,Regular School Day,btw_8am_4pm,0,0,5,5
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Lockdown School Day,btw_6am_6pm,0,0,1,1
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Lockdown School Day,btw_7am_5pm,0,0,1,1
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Lockdown School Day,btw_8am_4pm,0,0,1,1
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Regular School Day,btw_6am_6pm,0,0,5,5
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Regular School Day,btw_7am_5pm,0,0,5,5
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635,Regular School Day,btw_8am_4pm,0,0,4,4
Suddaby Public School,171 Frederick St Kitchener ON N2H 2M6,43.45218635,-80.48249472429079,Regular School Day,btw_6am_6pm,0,0,16,16
Suddaby Public School,171 Frederick St Kitchener ON N2H 2M6,43.45218635,-80.48249472429079,Regular School Day,btw_7am_5pm,0,0,14,14
Suddaby Public School,171 Frederick St Kitchener ON N2H 2M6,43.45218635,-80.48249472429079,Regular School Day,btw_8am_4pm,0,0,12,12
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Lockdown School Day,btw_6am_6pm,0,0,2,2
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Lockdown School Day,btw_7am_5pm,0,0,2,2
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Lockdown School Day,btw_8am_4pm,0,0,2,2
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Regular School Day,btw_6am_6pm,1,0,5,6
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Regular School Day,btw_7am_5pm,1,0,5,6
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618,Regular School Day,btw_8am_4pm,1,0,4,5
Trillium Public School,79 Laurentian Dr Kitchener ON N2E 1C3,43.4174238,-80.49598627725761,Regular School Day,btw_6am_6pm,0,0,5,5
Trillium Public School,79 Laurentian Dr Kitchener ON N2E 1C3,43.4174238,-80.49598627725761,Regular School Day,btw_7am_5pm,0,0,4,4
Trillium Public School,79 Laurentian Dr Kitchener ON N2E 1C3,43.4174238,-80.49598627725761,Regular School Day,btw_8am_4pm,0,0,4,4
W T Townshend Public School,245 Activa Ave Kitchener ON N2E 4A3,43.4065353,-80.51609874274064,Regular School Day,btw_6am_6pm,1,0,11,12
W T Townshend Public School,245 Activa Ave Kitchener ON N2E 4A3,43.4065353,-80.51609874274064,Regular School Day,btw_7am_5pm,1,0,9,10
W T Townshend Public School,245 Activa Ave Kitchener ON N2E 4A3,43.4065353,-80.51609874274064,Regular School Day,btw_8am_4pm,1,0,7,8
Westheights Public School,429 Westheights Dr Kitchener ON N2N 1M3,43.41933385,-80.5349551616786,Regular School Day,btw_6am_6pm,0,0,4,4
Westheights Public School,429 Westheights Dr Kitchener ON N2N 1M3,43.41933385,-80.5349551616786,Regular School Day,btw_7am_5pm,0,0,3,3
Westheights Public School,429 Westheights Dr Kitchener ON N2N 1M3,43.41933385,-80.5349551616786,Regular School Day,btw_8am_4pm,0,0,2,2
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Lockdown School Day,btw_6am_6pm,0,0,2,2
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Lockdown School Day,btw_7am_5pm,0,0,1,1
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Lockdown School Day,btw_8am_4pm,0,0,1,1
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Regular School Day,btw_6am_6pm,0,1,14,15
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Regular School Day,btw_7am_5pm,0,1,11,12
Westmount Public School,329 Glasgow St Kitchener ON N2M 2M9,43.4493292,-80.52155894197145,Regular School Day,btw_8am_4pm,0,1,9,10
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Lockdown School Day,btw_6am_6pm,0,1,0,1
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Lockdown School Day,btw_7am_5pm,0,1,0,1
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Lockdown School Day,btw_8am_4pm,0,1,0,1
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Regular School Day,btw_6am_6pm,3,0,19,22
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Regular School Day,btw_7am_5pm,3,0,18,21
Williamsburg Public School,760 Commonwealth Cres Kitchener ON N2E 4K7,43.4027144,-80.50398061060531,Regular School Day,btw_8am_4pm,3,0,17,20
Wilson Avenue Public School,221 Wilson Ave Kitchener ON N2C 1G9,43.42597615,-80.45367645796043,Regular School Day,btw_6am_6pm,1,0,10,11
Wilson Avenue Public School,221 Wilson Ave Kitchener ON N2C 1G9,43.42597615,-80.45367645796043,Regular School Day,btw_7am_5pm,1,0,10,11
Wilson Avenue Public School,221 Wilson Ave Kitchener ON N2C 1G9,43.42597615,-80.45367645796043,Regular School Day,btw_8am_4pm,1,0,7,8
