accidentnum,accidentdate,accident_year,accident_month,accident_hour,accident_weekday,latitude,latitude_new,latitude_use,longitude,longitude_new,longitude_use,xcoord,ycoord,accidentlocation,classificationofaccident,impactlocation,initialimpacttype,trafficcontrol,pedestrianinvolved,cyclistinvolved,environmentcondition1,xmlimportnotes
15-238851,11/6/2015 3:06:00 PM,2015,11,15,Friday,43.446978,43.446969499431475,43.446978,-80.409729,-80.40972530836822,-80.409729,547762.15306,4810621.13749,Non intersection,P.D. only,Right shoulder,SMV unattended vehicle,No control,FALSE,FALSE,Clear,PEBBLECREEK DR; LANDGREN CRT ; Near; 50 M
15-238895,11/6/2015 1:00:00 AM,2015,11,1,Friday,43.416559,43.41655050930826,43.416559,-80.504673,-80.50466928105034,-80.504673,540099.8164,4807192.84564,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Rain,PINEDALE DR; PINEDALE DR ; Near
15-238996,11/6/2015 6:05:00 PM,2015,11,18,Friday,43.456787,43.456778502804156,43.456787,-80.516545,-80.51654127373251,-80.516545,539112.79075,4811654.80477,At intersection,Non-fatal injury,Within intersection,Turning movement,Traffic signal,FALSE,FALSE,Clear,PARK ST; UNION BLVD; At
15-239106,11/6/2015 9:17:00 PM,2015,11,21,Friday,43.445705,43.44569650459057,43.445705,-80.513243,-80.51323927567998,-80.513243,539387.12047,4810425.62351,At/near private drive,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Rain,BELMONT AVE W; BELMONT AVE W; At; 25 M
15-239370,11/6/2015 4:30:00 PM,2015,11,16,Friday,43.439936,43.43992750138653,43.439936,-80.426144,-80.4261403038115,-80.426144,546439.31548,4809829.79302,At/near private drive,P.D. only,Other,Other,No control,FALSE,FALSE,Clear,TISDALE CRT; TISDALE CRT ; Near
15-240050,11/8/2015 8:19:00 AM,2015,11,8,Sunday,43.461396,43.4613874990275,43.461396,-80.455471,-80.45546729263015,-80.455471,544050.4612,4812197.15667,Non intersection,P.D. only,Right shoulder,SMV unattended vehicle,No control,FALSE,FALSE,Clear,PEACHWOOD CRT; MANCHESTER RD ; 20 M
15-240127,11/8/2015 10:25:00 AM,2015,11,10,Sunday,43.447639,43.447630502829035,43.447639,-80.48408,-80.48407628476704,-80.48408,541745.56983,4810654.60752,Non intersection,P.D. only,Right shoulder,SMV unattended vehicle,No control,FALSE,FALSE,Clear,KING ST E; KING ST E; At
15-240242,11/8/2015 2:29:00 PM,2015,11,14,Sunday,43.455359,43.455350501494564,43.455359,-80.484692,-80.48468828382374,-80.484692,541690.747,4811511.66363,At intersection,Non-fatal injury,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,QUEEN ST N; ELLEN ST E; At; 0 M
15-240672,11/9/2015 8:43:00 AM,2015,11,8,Monday,43.405216,43.40520751189106,43.405216,-80.518302,-80.51829827780392,-80.518302,539003.74913,4805926.66589,At intersection,Non-fatal injury,Within intersection,SMV other,Stop sign,TRUE,FALSE,Clear,ACTIVA AVE; DAVID BERGEY DR ; At
15-240688,11/7/2015 11:00:00 PM,2015,11,23,Saturday,43.43215,43.43214150544802,43.43215,-80.481815,-80.48181128693341,-80.481815,541939.53807,4808935.58138,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,HOFFMAN ST; 40 HOFFMAN ST; At
15-241020,11/8/2015 3:00:00 PM,2015,11,15,Sunday,43.407144,43.40713550627317,43.407144,-80.40732,-80.4073163127236,-80.40732,547988.5366,4806198.67924,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,DEER RIDGE DR; DEER RIDGE DR ; Near
15-241087,11/9/2015 6:17:00 PM,2015,11,18,Monday,43.449078,43.44906950059345,43.449078,-80.443209,-80.44320529752127,-80.443209,545051.55183,4810835.70899,Non intersection,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Clear,RIVER RD E; HOLBORN DR; Near; 10 M
15-241497,11/10/2015 9:15:00 AM,2015,11,9,Tuesday,43.418524,43.41851550856934,43.418524,-80.498226,-80.498222282934,-80.498226,540620.42444,4807414.19334,At intersection,P.D. only,Within intersection,SMV unattended vehicle,Stop sign,FALSE,FALSE,Clear,CARTIER DR; KIMBERLY CRES ; At
15-241693,11/10/2015 12:00:00 PM,2015,11,12,Tuesday,43.433907,43.43389850395204,43.433907,-80.457177,-80.45717329455148,-80.457177,543932.34317,4809143.40223,Non intersection,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Rain,FIRST AVE; ECKERT ST; At
15-241743,11/10/2015 2:59:00 PM,2015,11,14,Tuesday,43.397129,43.39712050993644,43.397129,-80.446541,-80.44653730120565,-80.446541,544820.26003,4805064.62191,Non intersection,P.D. only,Thru lane,Rear end,Ped. crossover,FALSE,FALSE,Rain,DOON VILLAGE RD ; UPPER CANADA DR ; Near; 10 M
15-241988,11/10/2015 9:18:00 PM,2015,11,21,Tuesday,43.422782,43.42277350904742,43.422782,-80.523665,-80.52366127446372,-80.523665,538558.35604,4807874.99078,At/near private drive,P.D. only,Not on roadway - left side,SMV other,No control,FALSE,FALSE,Rain,ELM RIDGE DR ; ELM RIDGE DR ; At; 2 M
15-242355,11/11/2015 12:19:00 PM,2015,11,12,Wednesday,43.41623,43.41622150637998,43.41623,-80.44233,-80.44232630079931,-80.44233,545147.08542,4807188.18411,Non intersection,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Clear,WILSON AVE ; WILSON AVE; Near; 20 M
15-242367,11/4/2015 12:34:00 PM,2015,11,12,Wednesday,43.433664,43.433655507613494,43.433664,-80.532304,-80.5323002707326,-80.532304,537852.2695,4809079.55118,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,OPRINGTON DR; OPRINGTON DR ; Near
15-242468,11/11/2015 3:05:00 PM,2015,11,15,Wednesday,43.455927,43.45591850279402,43.455927,-80.51387,-80.51386627461758,-80.51387,539329.76127,4811560.55489,Non intersection,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Clear,PARK ST; MT HOPE ST; 50 M
15-242514,11/11/2015 4:10:00 PM,2015,11,16,Wednesday,43.458585,43.45857650120968,43.458585,-80.490417,-80.49041328173732,-80.490417,541225.37971,4811867.08561,At intersection,Non-fatal injury,Within intersection,Angle,Traffic signal,FALSE,FALSE,Clear,MARGARET AVE; WELLINGTON ST N
15-242529,11/11/2015 1:00:00 PM,2015,11,13,Wednesday,43.4216,43.421591506086656,43.4216,-80.456605,-80.4566012958092,-80.456605,543987.54786,4807776.92669,At intersection,Non-fatal injury,Within intersection,Angle,Stop sign,FALSE,TRUE,Clear,VANIER DR; SIEBERT AVE ; At
15-242639,11/11/2015 6:54:00 PM,2015,11,18,Wednesday,43.443176,43.44316750143931,43.443176,-80.439133,-80.43912929935146,-80.439133,545385.76336,4810182.46117,Non intersection,Non-reportable,Thru lane,Sideswipe,No control,FALSE,FALSE,Clear,RIVER RD E; RENNIE DR ; Near; 15 M
15-243129,11/12/2015 11:40:00 AM,2015,11,11,Thursday,43.434593,43.434584503619824,43.434593,-80.452578,-80.45257429588328,-80.452578,544304.05198,4809222.0221,At intersection,P.D. only,Within intersection,Turning movement,Stop sign,FALSE,FALSE,Strong wind,KINGSWAY DR; FOURTH AVE
15-243253,11/12/2015 1:45:00 PM,2015,11,13,Thursday,43.450285,43.450276503019424,43.450285,-80.497547,-80.49754328024649,-80.497547,540654.12442,4810941.80536,Intersection related,P.D. only,Not on roadway - right side,SMV other,Stop sign,FALSE,FALSE,Clear,JOSEPH ST; FRANCIS ST S; At
15-243328,11/12/2015 4:00:00 PM,2015,11,16,Thursday,43.425834,43.42582550556916,43.425834,-80.46119,-80.46118629397323,-80.46119,543613.35683,4808244.73187,Non intersection,Non-fatal injury,Thru lane,Approaching,No control,FALSE,FALSE,Rain,VANIER DR; MASSEY AVE ; 7 M
15-243361,11/12/2015 4:40:00 PM,2015,11,16,Thursday,43.439655,43.439646505351966,43.439655,-80.507618,-80.50761427809418,-80.507618,539846.24844,4809756.40232,At/near private drive,P.D. only,Left turn lane,Turning movement,No control,FALSE,FALSE,Rain,BELMONT AVE W; HIGHLAND RD W; Near; 8 M
15-243390,11/12/2015 5:00:00 PM,2015,11,17,Thursday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,At/near private drive,Non-fatal injury,Right turn lane,SMV other,Ped. crossover,TRUE,FALSE,Strong wind,KINGSWAY DR; 2969 KINGSWAY DR; 1 M
15-243408,11/12/2015 5:49:00 PM,2015,11,17,Thursday,43.461005,43.460996501296975,43.461005,-80.50048,-80.5004762783596,-80.50048,540409.67404,4812130.91355,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Rain,GUELPH ST ; 282 GUELPH ST; At; 2 M
15-243827,11/13/2015 9:41:00 AM,2015,11,9,Friday,43.433371,43.43336250589049,43.433371,-80.49602,-80.49601628231535,-80.49602,540789.03681,4809064.13133,Non intersection,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Rain,STIRLING AVE S; MAUSSER AVE ; 50 M
15-244333,11/13/2015 8:30:00 PM,2015,11,20,Friday,43.409434,43.409425507495676,43.409434,-80.440811,-80.44080730186641,-80.440811,545275.12037,4806434.26705,At intersection,Non-fatal injury,Within intersection,Angle,Stop sign,FALSE,FALSE,Rain,WILSON AVE ; WABANAKI DR
15-244935,11/14/2015 2:29:00 PM,2015,11,14,Saturday,43.403655,43.40364651170329,43.403655,-80.509133,-80.50912928083493,-80.509133,539747.1913,4805757.63677,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,Stop sign,FALSE,FALSE,Rain,MAX BECKER DR; LEMONBALM ST ; 40 M
15-245172,11/14/2015 9:08:00 PM,2015,11,21,Saturday,43.452675,43.45266649997042,43.452675,-80.442804,-80.44280029734155,-80.442804,545081.64956,4811235.4014,At/near private drive,P.D. only,Right shoulder,SMV unattended vehicle,No control,FALSE,FALSE,Clear,BRECKENRIDGE DR ; 131 BRECKENRIDGE; 3 M
15-246187,11/16/2015 9:30:00 AM,2015,11,9,Monday,43.451066,43.45105750186759,43.451066,-80.477096,-80.47709228666521,-80.477096,542308.28671,4811038.72395,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,SAMUEL ST; KRUG ST; At
15-246216,11/16/2015 11:16:00 AM,2015,11,11,Monday,43.462157,43.462148500726684,43.462157,-80.494086,-80.494082280342,-80.494086,540926.14915,4812261.97366,Other,P.D. only,Off highway,SMV unattended vehicle,No control,FALSE,FALSE,Clear,PRIVATE DRIVE; BLUCHER ST
15-246246,11/16/2015 11:51:00 AM,2015,11,11,Monday,43.450875,43.4508665028739,43.450875,-80.497199,-80.49719528027485,-80.497199,540681.88592,4811007.49904,Non intersection,P.D. only,Not on roadway - left side,SMV other,No control,FALSE,FALSE,Clear,FRANCIS ST S; CHARLES ST W; 50 M
15-246252,11/13/2015 10:00:00 AM,2015,11,10,Friday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,PINEGLEN CRES; PINEGLEN CRES ; 1 M
15-246275,11/15/2015 3:30:00 PM,2015,11,15,Sunday,43.390495,43.390486511909714,43.390495,-80.464679,-80.4646752960807,-80.464679,543356.14402,4804318.28605,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,TEMPLEWOOD DR; 42 TEMPLEWOOD DR; Near
15-246420,11/16/2015 3:33:00 PM,2015,11,15,Monday,43.446033,43.44602450470097,43.446033,-80.517973,-80.51796927415677,-80.517973,539004.17287,4810459.8251,Non intersection,P.D. only,Thru lane,Rear end,No control,FALSE,TRUE,Clear,GAGE AVE ; BELMONT AVE W; Near; 300 M
15-246504,11/16/2015 5:33:00 PM,2015,11,17,Monday,43.409434,43.409425507464135,43.409434,-80.440823,-80.44081930182271,-80.440823,545274.14879,4806434.26053,At intersection,P.D. only,Within intersection,Turning movement,Stop sign,FALSE,FALSE,Clear,WABANAKI DR; WILSON AVE; At; 20 M
15-246627,11/16/2015 8:05:00 PM,2015,11,20,Monday,43.438475,43.43846650463173,43.438475,-80.488572,-80.48856828423172,-80.488572,541388.34952,4809634.63873,Intersection related,P.D. only,Thru lane,SMV unattended vehicle,Stop sign,FALSE,FALSE,Clear,WOODLAND AVE; MILL ST
15-246836,11/13/2015 6:15:00 PM,2015,11,18,Friday,43.445484,43.445475502959624,43.445484,-80.478647,-80.47864328662786,-80.478647,542186.67499,4810418.01576,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Rain,PANDORA AVE N; KING ST E; Near
15-247251,11/17/2015 7:35:00 AM,2015,11,7,Tuesday,43.440802,43.44079350383791,43.440802,-80.480474,-80.48047028651672,-80.480474,542042.08139,4809897.12263,Non intersection,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,HURST AVE; 17 HURST AVE; Near
15-247253,11/17/2015 5:00:00 PM,2015,11,17,Tuesday,43.45498,43.45497150233148,43.45498,-80.501251,-80.50124727869304,-80.501251,540351.3092,4811461.41872,Intersection related,P.D. only,Thru lane,Rear end,Traffic signal,FALSE,FALSE,Clear,WELLINGTON ST N; MOORE AVE; At
15-247265,11/17/2015 5:41:00 PM,2015,11,17,Tuesday,43.409428,43.40941950749436,43.409428,-80.440785,-80.4407813018317,-80.440785,545277.22994,4806433.61483,At intersection,Non-fatal injury,Within intersection,Turning movement,Stop sign,FALSE,FALSE,Clear,WILSON AVE; WABANAKI DR
15-247590,11/14/2015 7:00:00 PM,2015,11,19,Saturday,43.455183,43.45517450302407,43.455183,-80.515365,-80.51536127417359,-80.515365,539209.29161,4811477.22345,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,YORK ST; 84 YORK ST; Near
15-247810,11/18/2015 11:42:00 AM,2015,11,11,Wednesday,43.430881,43.430872506318934,43.430881,-80.494792,-80.49478828285514,-80.494792,540890.09933,4808788.20132,Non intersection,P.D. only,Thru lane,Sideswipe,Traffic signal,FALSE,FALSE,Clear,HOMER WATSON BLVD ; STIRLING AVE S; 150 M
15-248118,11/18/2015 6:45:00 AM,2015,11,6,Wednesday,43.410452,43.41044350701933,43.410452,-80.435855,-80.43585130332607,-80.435855,545675.61926,4806550.02589,Non intersection,P.D. only,Thru lane,SMV other,No control,FALSE,FALSE,Clear,WABANAKI DR; WILSON AVE; Near
15-248123,11/18/2015 5:50:00 PM,2015,11,17,Wednesday,43.420646,43.42063751073673,43.420646,-80.550747,-80.55074326611923,-80.550747,536367.41657,4807625.60199,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Rain,NEWBURY DR; 67 NEWBURY DR; Near; 5 M
15-248133,11/18/2015 6:23:00 PM,2015,11,18,Wednesday,43.468331,43.4683224990209,43.468331,-80.480332,-80.4803282841153,-80.480332,542034.50032,4812954.49324,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,MAPLE AVE ; MAPLE AVE ; At; 1 M
15-248288,11/18/2015 10:49:00 PM,2015,11,22,Wednesday,43.402036,43.402027509923776,43.402036,-80.464807,-80.46480329496613,-80.464807,543337.55164,4805599.92006,At/near private drive,Non-fatal injury,Right shoulder,Rear end,No control,FALSE,FALSE,Rain,TRILLIUM DR; TRILLIUM DR ; At; 50 M
15-248474,11/19/2015 8:22:00 AM,2015,11,8,Thursday,43.451887,43.45187850367988,43.451887,-80.516988,-80.51698427393556,-80.516988,539080.10638,4811110.41583,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,GLASGOW ST; BELMONT AVE W; At; 1 M
15-248558,11/19/2015 9:40:00 AM,2015,11,9,Thursday,43.389278,43.38926951223033,43.389278,-80.466802,-80.46679829542094,-80.466802,543185.0653,4804182.02927,Intersection related,P.D. only,Thru lane,SMV other,Other,FALSE,FALSE,Clear,STRASBURG RD ; RUSH MEADOW ST ; 36 M
15-248688,11/19/2015 11:10:00 AM,2015,11,11,Thursday,43.426141,43.42613250342994,43.426141,-80.417768,-80.41776430769046,-80.417768,547127.84392,4808302.46333,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,MANOR DR; 23 MANOR DR; Near
15-248833,11/19/2015 2:19:00 PM,2015,11,14,Thursday,43.43433,43.434321506777266,43.43433,-80.518548,-80.51854427511613,-80.518548,538965.1555,4809159.8551,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,HIGHLAND CRES ; 550 HIGHLAND CRES; At; 5 M
15-248835,11/19/2015 2:28:00 PM,2015,11,14,Thursday,43.452728,43.45271950240181,43.452728,-80.494001,-80.49399728114031,-80.494001,540939.38618,4811214.8548800005,At/near private drive,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,WATER ST N; 25 WATER ST N; At; 0 M
15-249333,11/20/2015 8:25:00 AM,2015,11,8,Friday,43.397939,43.397930509775804,43.397939,-80.446698,-80.4466943010842,-80.446698,544806.94905,4805154.49316,At intersection,P.D. only,Within intersection,Turning movement,Stop sign,FALSE,FALSE,Clear,DOON VILLAGE RD; FARRIER DR
15-249364,11/20/2015 9:20:00 AM,2015,11,9,Friday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,Intersection related,P.D. only,Left turn lane,Sideswipe,Traffic signal,FALSE,FALSE,Clear,GLASGOW ST; BELMONT AVE W; 2 M
15-249397,11/20/2015 10:05:00 AM,2015,11,10,Friday,43.423771,43.423762505269536,43.423771,-80.447102,-80.44709829858323,-80.447102,544755.20741,4808023.08978,At intersection,P.D. only,Within intersection,Turning movement,Traffic signal,FALSE,FALSE,Clear,WILSON AVE; TRAYNOR AVE; At
15-249428,11/20/2015 8:55:00 AM,2015,11,8,Friday,43.450862,43.45085350210468,43.450862,-80.480081,-80.48007728576783,-80.480081,542066.91246,4811014.55667,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,BRUBACHER ST; BRUBACHER ST ; 1 M
15-249578,11/20/2015 1:45:00 PM,2015,11,13,Friday,43.447181,43.44717250218177,43.447181,-80.469174,-80.4691702895485,-80.469174,542952.00293,4810611.31998,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,EAST AVE; EAST AVE ; At
15-249599,11/20/2015 3:06:00 PM,2015,11,15,Friday,43.43759,43.43758150473411,43.43759,-80.487623,-80.48761928458545,-80.487623,541465.75315,4809536.82502,At intersection,Non-fatal injury,Within intersection,Turning movement,Traffic signal,FALSE,FALSE,Clear,STIRLING AVE S; MILL ST
15-249697,11/20/2015 4:54:00 PM,2015,11,16,Friday,43.392876,43.39286751025566,43.392876,-80.438209,-80.43820530422943,-80.438209,545498.18104,4804596.8114,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,FRONT OF; BECHTEL DR; 40 M
15-250185,11/21/2015 11:17:00 AM,2015,11,11,Saturday,43.440525,43.440516503417086,43.440525,-80.470577,-80.47057328973543,-80.470577,542843.17619,4809871.40095,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Clear,SYDNEY ST S; CHARLES ST E
15-250495,11/21/2015 9:23:00 PM,2015,11,21,Saturday,43.447337,43.44732850282128,43.447337,-80.483436,-80.48343228494703,-80.483436,541797.88661,4810621.39111,Intersection related,P.D. only,Thru lane,Rear end,Traffic signal,FALSE,FALSE,Snow,KING ST E; CEDAR ST N; 20 M
15-250519,11/21/2015 10:00:00 PM,2015,11,22,Saturday,43.45468,43.454671502876096,43.45468,-80.51092,-80.51091627569541,-80.51092,539569.23896,4811423.46336,At intersection,P.D. only,Within intersection,Angle,Stop sign,FALSE,FALSE,Snow,PARK ST; GREEN ST; At
15-250619,11/22/2015 1:18:00 AM,2015,11,1,Sunday,43.451072,43.45106350376337,43.451072,-80.516463,-80.51645927419588,-80.516463,539123.10876,4811020.15054,Non intersection,P.D. only,Off highway,SMV other,No control,FALSE,FALSE,Clear,BELMONT AVE W; GAGE AVE ; 150 M
15-250705,11/22/2015 4:56:00 AM,2015,11,4,Sunday,43.439306,43.43929750187589,43.439306,-80.433429,-80.43342530148291,-80.433429,545850.25525,4809755.7927,At intersection,P.D. only,Within intersection,SMV other,Traffic signal,FALSE,FALSE,Snow,OLD CHICOPEE DR; RIVER RD E
15-250829,11/21/2015 11:00:00 PM,2015,11,23,Saturday,43.411221,43.41121250864831,43.411221,-80.472249,-80.47224529177906,-80.472249,542728.47829,4806616.13282,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Snow,CENTURY HILL DR; CENTURY HILL DR
15-250837,11/22/2015 11:08:00 AM,2015,11,11,Sunday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,At/near private drive,Non-fatal injury,Thru lane,Rear end,No control,FALSE,FALSE,Clear,DOON VILLAGE RD ; DOON VILLAGE RD ; 3 M
15-251625,11/23/2015 8:20:00 AM,2015,11,8,Monday,0,43.45175033369199,43.45175033369199,0,-80.49241574766711,-80.49241574766711,541068,4811108,Non intersection,P.D. only,Right turn channel,Rear end,Yield sign,FALSE,FALSE,Clear,OLD HURON RD ; HURON RD
15-251688,11/23/2015 2:44:00 PM,2015,11,14,Monday,43.385652,43.38564351147121,43.385652,-80.436782,-80.43677830523875,-80.436782,545619.16764,4803795.32108,At/near private drive,P.D. only,Thru lane,Turning movement,No control,FALSE,FALSE,Clear,WOODFIELD ST; WOODFIELD ST ; 1 M
15-251750,11/23/2015 2:30:00 PM,2015,11,14,Monday,43.397078,43.39706950966433,43.397078,-80.441371,-80.441367302829,-80.441371,545238.97315,4805061.74971,At/near private drive,Non-reportable,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,LOWER CANADA CRES; 10 LOWER CANADA CRES; At
15-251760,11/23/2015 4:20:00 PM,2015,11,16,Monday,43.449556,43.449547503437884,43.449556,-80.504459,-80.50445527815543,-80.504459,540095.35062,4810857.49487,Underpass or tunnel,P.D. only,Thru lane,SMV other,No control,FALSE,FALSE,Clear,PARK ST; CHERRY ST; At; 30 M
15-251912,11/22/2015 5:30:00 PM,2015,11,17,Sunday,43.432702,43.43269350370632,43.432702,-80.446644,-80.44664029798837,-80.446644,544785.69541,4809015.18514,Intersection related,P.D. only,Thru lane,SMV other,Stop sign,FALSE,FALSE,Snow,KINGSWAY DR; NINTH AVE
15-252144,11/24/2015 8:39:00 AM,2015,11,8,Tuesday,43.44755,43.44754150391821,43.44755,-80.507236,-80.50723227742596,-80.507236,539871.97634,4810633.38129,Intersection related,P.D. only,Thru lane,Rear end,Stop sign,FALSE,FALSE,Clear,CHERRY ST ; STRANGE ST ; 6.6 M
15-252581,11/24/2015 7:40:00 AM,2015,11,7,Tuesday,43.461065,43.46105650121526,43.461065,-80.500314,-80.50031027845125,-80.500314,540423.06288,4812137.65754,At/near private drive,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,GUELPH ST; 291 GUELPH ST; At
15-252629,11/24/2015 7:15:00 PM,2015,11,19,Tuesday,43.442115,43.44210650325544,43.442115,-80.472158,-80.47215428900392,-80.472158,542714.11703,4810047.17013,At/near private drive,P.D. only,Left turn lane,Turning movement,No control,FALSE,FALSE,Clear,KING ST E; KING ST E
15-252911,11/24/2015 3:00:00 PM,2015,11,15,Tuesday,43.452745,43.45273650240664,43.452745,-80.494012,-80.49400828113401,-80.494012,540938.48473,4811216.73745,Non intersection,P.D. only,Thru lane,Other,No control,FALSE,FALSE,Clear,WATER ST N; DUKE ST W; Near
15-252915,11/25/2015 9:52:00 AM,2015,11,9,Wednesday,43.448002,43.447993503082685,43.448002,-80.491013,-80.49100928248254,-80.491013,541184.34454,4810691.4708,At intersection,Non-fatal injury,Within intersection,SMV other,Traffic signal,TRUE,FALSE,Clear,QUEEN ST S; JOSEPH ST; At
15-252993,11/24/2015 7:00:00 PM,2015,11,19,Tuesday,43.448731,43.44872250323493,43.448731,-80.496239,-80.4962352808617,-80.496239,540760.99929,4810769.86146,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,WATER ST S; WATER ST S; At
15-253048,11/25/2015 11:50:00 AM,2015,11,11,Wednesday,43.451322,43.451313503221215,43.451322,-80.50666,-80.50665627733298,-80.50666,539916.10243,4811052.56512,At railway crossing,P.D. only,Thru lane,Rear end,Other,FALSE,FALSE,Clear,PARK ST; DOMINION ST; Near
15-253166,11/25/2015 3:35:00 PM,2015,11,15,Wednesday,43.407123,43.407114511220115,43.407123,-80.511863,-80.51185927960678,-80.511863,539523.88045,4806141.48267,Non intersection,P.D. only,Thru lane,Rear end,School guard,FALSE,FALSE,Clear,ACTIVA AVE; ACTIVA AVE ; At
15-253614,11/26/2015 11:22:00 AM,2015,11,11,Thursday,43.451886,43.451877503665344,43.451886,-80.516998,-80.51699427402508,-80.516998,539079.29793,4811110.30008,Non intersection,P.D. only,Thru lane,SMV unattended vehicle,Traffic signal,FALSE,FALSE,Clear,GLASGOW ST; BELMONT AVE W; 10 M
15-253678,11/26/2015 1:01:00 PM,2015,11,13,Thursday,43.416714,43.416705506221454,43.416714,-80.442163,-80.442159300757,-80.442163,545160.24542,4807242.026,At intersection,P.D. only,Within intersection,Turning movement,Stop sign,FALSE,FALSE,Clear,WILSON AVE ; WEBSTER; 3 M
15-253789,11/26/2015 7:00:00 AM,2015,11,7,Thursday,43.400926,43.400917508698875,43.400926,-80.435706,-80.4357023043017,-80.435706,545694.84279,4805492.18337,Non intersection,P.D. only,Thru lane,SMV other,No control,FALSE,FALSE,Clear,HURON RD; HOMER WATSON BLVD; Near
15-254446,11/27/2015 12:15:00 PM,2015,11,12,Friday,43.410934,43.41092550526191,43.410934,-80.399929,-80.39992531471063,-80.399929,548583.94425,4806623.8643,At/near private drive,P.D. only,Thru lane,Rear end,No control,FALSE,FALSE,Rain,DEER RIDGE DR; KING ST E; Near; 10 M
15-254531,11/27/2015 2:09:00 PM,2015,11,14,Friday,43.447855,43.44784650281531,43.447855,-80.484529,-80.48452528459845,-80.484529,541709.09088,4810678.37101,At intersection,P.D. only,Right shoulder,SMV other,Stop sign,FALSE,FALSE,Clear,KING ST E; EBY ST N; At
15-254619,11/27/2015 3:20:00 PM,2015,11,15,Friday,43.440492,43.44048350508538,43.440492,-80.504191,-80.50418727901375,-80.504191,540123.02516,4809851.00157,At/near private drive,P.D. only,Thru lane,Sideswipe,No control,FALSE,FALSE,Other,PATRICIA AVE; 80 PATRICIA AVE; Near
15-254707,11/27/2015 4:38:00 PM,2015,11,16,Friday,43.446427,43.446418502938975,43.446427,-80.481527,-80.48152328564916,-80.481527,541952.98174,4810521.28851,Non intersection,P.D. only,Not on roadway - right side,SMV unattended vehicle,No control,FALSE,FALSE,Rain,KING ST E; KING ST E; Near
15-254712,11/26/2015 8:00:00 PM,2015,11,20,Thursday,43.432755,43.43274650398654,43.432755,-80.453671,-80.45366729566125,-80.453671,544216.93178,4809017.3188,At/near private drive,P.D. only,Thru lane,SMV unattended vehicle,No control,FALSE,FALSE,Clear,FOURTH AVE; 52 FOURTH AV
15-254795,11/27/2015 6:15:00 PM,2015,11,18,Friday,43.422356,43.42234750535319,43.422356,-80.443663,-80.44365929987333,-80.443663,545034.63015,4807867.79669,Intersection related,P.D. only,Left turn lane,Rear end,Traffic signal,FALSE,FALSE,Rain,KINGSWAY DR; WILSON AVE; At
